=== Imported Function Usage by Segment ===
Modules: 1:USER, 2:GDI, 3:KERNEL, 4:UEXTRA, 5:WAVMIX16, 6:OLE2DISP, 7:WING, 8:COMPOBJ, 9:OLE2, 10:COMMDLG, 11:MSAJT110, 12:KEYBOARD, 13:SHELL, 14:MSABC110, 15:MMSYSTEM, 16:WIN87EM
 Seg   Size  imports called (count)
  11  41395  COMPOBJ.1(1), COMPOBJ.2(1), COMPOBJ.38(2), COMPOBJ.4(1), GDI.128(1), GDI.28(1), GDI.34(1), GDI.45(1), GDI.48(1), GDI.51(1), GDI.52(1), GDI.61(1), GDI.68(1), GDI.69(1), GDI.80(1), GDI.82(1), GDI.87(1), KERNEL.132(1), KERNEL.15(1), KERNEL.18(1), KERNEL.199(1), KERNEL.3(1), KERNEL.36(1), KERNEL.4(1), KERNEL.47(1), KERNEL.5(1), KERNEL.51(1), KERNEL.52(1), KERNEL.55(1), KERNEL.96(1), MMSYSTEM.416(1), MSABC110.2(1), MSABC110.5(1), OLE2.2(1), OLE2DISP.33(2), OLE2DISP.4(1), OLE2DISP.6(1), UEXTRA.B$PEND(3), UEXTRA.HMEMSET(1), UEXTRA.HOLE(1), USER.1(1), USER.111(1), USER.125(1), USER.13(1), USER.135(1), USER.136(1), USER.175(1), USER.176(1), USER.179(1), USER.22(1), USER.224(1), USER.225(1), USER.232(1), USER.262(1), USER.282(1), USER.283(1), USER.284(1), USER.291(1), USER.33(1), USER.34(1), USER.42(1), USER.430(1), USER.457(1), USER.47(1), USER.53(1), USER.60(1), USER.72(1), USER.73(1), USER.74(1), USER.77(1), USER.78(1), USER.81(1), USER.88(1), WAVMIX16.11(1), WAVMIX16.15(1), WAVMIX16.6(1), WING.1003(1)
  12  41658  GDI.128(1), GDI.161(1), GDI.24(1), GDI.47(1), GDI.57(1), GDI.64(1), GDI.65(1), GDI.66(1), GDI.69(1), GDI.77(1), GDI.82(1), GDI.87(1), GDI.93(1), KERNEL.102(1), KERNEL.17(1), KERNEL.19(1), KERNEL.21(1), KERNEL.334(1), KERNEL.350(1), KERNEL.36(1), KERNEL.55(1), KERNEL.60(1), KERNEL.61(1), KERNEL.62(1), KERNEL.63(1), KERNEL.7(1), KERNEL.81(1), KERNEL.83(1), KERNEL.89(1), KERNEL.96(1), MSABC110.3(2), OLE2DISP.29(1), SHELL.20(1), USER.10(1), USER.106(1), USER.108(1), USER.110(1), USER.113(1), USER.114(1), USER.12(1), USER.124(1), USER.125(1), USER.135(1), USER.136(1), USER.18(1), USER.19(1), USER.190(1), USER.224(1), USER.247(1), USER.29(1), USER.33(1), USER.34(1), USER.40(1), USER.42(1), USER.420(1), USER.458(1), USER.49(1), USER.56(1), USER.60(1), USER.68(1), USER.69(1), USER.73(1), USER.74(1), USER.76(1), USER.77(1), USER.78(1), USER.79(1), USER.81(1), USER.83(1), USER.90(1), WAVMIX16.10(1), WAVMIX16.11(1), WAVMIX16.9(1)
  13  41274  COMPOBJ.3(1), GDI.128(1), GDI.3(1), GDI.360(1), GDI.363(1), GDI.45(1), GDI.52(1), GDI.57(1), GDI.66(1), GDI.68(1), GDI.69(1), GDI.7(1), GDI.80(1), GDI.87(1), GDI.93(1), KERNEL.113(1), KERNEL.127(1), KERNEL.15(1), KERNEL.17(1), KERNEL.18(1), KERNEL.19(1), KERNEL.20(1), KERNEL.21(1), KERNEL.336(1), KERNEL.349(1), KERNEL.350(1), KERNEL.36(1), KERNEL.47(1), KERNEL.49(1), KERNEL.55(1), KERNEL.57(1), KERNEL.58(1), KERNEL.60(1), KERNEL.61(1), KERNEL.62(1), KERNEL.81(1), KERNEL.83(1), KERNEL.84(1), KERNEL.85(1), KERNEL.88(1), KERNEL.89(1), KERNEL.90(1), KERNEL.95(1), KERNEL.96(1), MMSYSTEM.401(1), MMSYSTEM.415(1), OLE2.3(1), OLE2DISP.6(1), OLE2DISP.7(1), UEXTRA.HMEMSET(1), USER.106(1), USER.111(1), USER.124(1), USER.125(1), USER.173(1), USER.176(1), USER.179(1), USER.18(1), USER.19(1), USER.21(1), USER.22(1), USER.225(1), USER.23(1), USER.244(1), USER.262(1), USER.282(1), USER.283(1), USER.286(1), USER.291(1), USER.292(1), USER.32(1), USER.36(1), USER.37(1), USER.42(1), USER.420(1), USER.430(1), USER.458(1), USER.471(1), USER.57(1), USER.66(1), USER.68(1), USER.69(1), USER.72(1), USER.73(1), USER.75(1), USER.76(1), USER.77(1), USER.78(1), USER.80(1), USER.81(1), WING.1001(1), WING.1002(1), WING.1003(1), WING.1007(1)
  14  41324  COMPOBJ.38(2), COMPOBJ.39(2), GDI.128(1), GDI.56(1), GDI.57(1), GDI.80(1), GDI.82(1), GDI.91(1), GDI.93(1), KERNEL.107(1), KERNEL.334(1), KERNEL.335(1), KERNEL.49(1), KERNEL.50(1), KERNEL.55(1), KERNEL.74(1), KERNEL.95(1), KERNEL.96(1), OLE2.35(1), OLE2DISP.2(1), OLE2DISP.33(2), OLE2DISP.4(1), OLE2DISP.7(1), USER.1(1), USER.10(1), USER.101(1), USER.12(1), USER.13(1), USER.135(1), USER.136(1), USER.176(1), USER.18(1), USER.19(1), USER.22(1), USER.233(1), USER.247(1), USER.32(1), USER.42(1), USER.420(1), USER.46(1), USER.66(1), USER.68(1), USER.77(1), USER.91(1), WAVMIX16.12(1)
  15  40738  COMPOBJ.38(2), GDI.128(1), GDI.28(1), GDI.45(1), GDI.87(1), KERNEL.17(1), KERNEL.19(1), KERNEL.21(1), KERNEL.320(1), KERNEL.334(1), KERNEL.36(1), KERNEL.55(1), KERNEL.88(1), KERNEL.90(1), OLE2.134(2), OLE2.36(1), OLE2DISP.2(1), OLE2DISP.33(2), UEXTRA.DOSTRETCHTRANSPARENTDIBITS(1), UEXTRA.FIXEDDIVIDE(1), UEXTRA.FIXEDMULTIPLY(1), USER.111(1), USER.124(1), USER.133(1), USER.134(1), USER.176(1), USER.18(1), USER.19(1), USER.224(1), USER.232(1), USER.262(1), USER.286(1), USER.420(1), USER.47(1), USER.49(1), USER.69(1), USER.75(1), USER.79(1), USER.81(1), USER.91(1)
  16  40139  COMPOBJ.38(2), GDI.103(1), GDI.104(1), GDI.128(1), GDI.33(1), GDI.351(1), GDI.38(1), GDI.45(1), GDI.57(1), GDI.69(1), GDI.80(1), GDI.82(1), GDI.93(1), KERNEL.15(1), KERNEL.18(1), KERNEL.334(1), KERNEL.36(1), KERNEL.55(1), KERNEL.70(1), OLE2DISP.2(1), OLE2DISP.33(2), UEXTRA.COPYDIBBITS(1), UEXTRA.HMEMSET(1), UEXTRA.RLETRANSEXPAND(1), USER.109(1), USER.113(1), USER.114(1), USER.124(1), USER.125(1), USER.185(1), USER.196(1), USER.224(1), USER.262(1), USER.286(1), USER.32(1), USER.33(1), USER.40(1), USER.42(1), USER.420(1), USER.458(1), USER.46(1), USER.49(1), USER.56(1), USER.60(1), USER.61(1), USER.69(1), USER.76(1), USER.77(1), USER.91(1)
  17  39334  COMMDLG.20(1), COMMDLG.26(1), COMPOBJ.38(2), GDI.128(1), GDI.19(1), GDI.2(1), GDI.20(1), GDI.24(1), GDI.27(1), GDI.28(1), GDI.3(1), GDI.33(1), GDI.377(1), GDI.378(1), GDI.379(1), GDI.38(1), GDI.380(1), GDI.381(1), GDI.382(1), GDI.45(1), GDI.53(1), GDI.56(1), GDI.61(1), GDI.68(1), GDI.69(1), GDI.80(1), GDI.87(1), GDI.9(1), GDI.91(1), KERNEL.17(1), KERNEL.18(1), KERNEL.19(1), KERNEL.36(1), KERNEL.5(1), KERNEL.50(1), KERNEL.51(1), KERNEL.58(1), KERNEL.7(1), KERNEL.88(1), KERNEL.89(1), KERNEL.95(1), KERNEL.96(1), OLE2DISP.33(2), USER.10(1), USER.107(3), USER.110(1), USER.111(1), USER.118(1), USER.12(1), USER.13(1), USER.133(1), USER.135(1), USER.136(1), USER.176(1), USER.18(1), USER.22(1), USER.224(1), USER.258(1), USER.286(1), USER.29(1), USER.32(1), USER.33(1), USER.40(1), USER.404(1), USER.41(1), USER.42(1), USER.46(1), USER.47(1), USER.53(1), USER.56(1), USER.57(1), USER.60(1), USER.66(1), USER.68(1), USER.72(1), USER.73(1), USER.74(1), USER.75(1), USER.76(1), USER.77(1), USER.78(1), USER.79(1), USER.81(1), USER.83(1), USER.85(1), USER.88(1), USER.91(1)
  18  40005  COMMDLG.20(1), COMPOBJ.38(2), GDI.128(1), GDI.148(1), GDI.149(1), GDI.150(1), GDI.2(1), GDI.28(1), GDI.29(1), GDI.45(1), GDI.462(1), GDI.53(1), GDI.56(1), GDI.57(1), GDI.61(1), GDI.66(1), GDI.69(1), GDI.77(1), GDI.80(1), GDI.87(1), GDI.9(1), GDI.91(1), GDI.93(1), KERNEL.10(1), KERNEL.15(1), KERNEL.17(1), KERNEL.18(1), KERNEL.19(1), KERNEL.353(1), KERNEL.36(1), KERNEL.5(1), KERNEL.6(1), KERNEL.7(1), KERNEL.8(1), KERNEL.88(1), KERNEL.9(1), KERNEL.90(1), OLE2DISP.33(2), USER.10(1), USER.101(1), USER.104(1), USER.106(1), USER.107(1), USER.109(1), USER.111(1), USER.113(1), USER.114(1), USER.12(1), USER.124(1), USER.125(1), USER.129(1), USER.135(1), USER.137(1), USER.138(1), USER.139(1), USER.141(1), USER.15(1), USER.179(1), USER.22(1), USER.224(1), USER.232(1), USER.262(1), USER.286(1), USER.287(1), USER.31(1), USER.32(1), USER.33(1), USER.35(1), USER.42(1), USER.420(1), USER.430(1), USER.46(1), USER.47(1), USER.471(1), USER.49(1), USER.56(1), USER.60(1), USER.62(1), USER.66(1), USER.68(1), USER.73(1), USER.74(1), USER.77(1), USER.78(1), USER.79(1), USER.81(1), USER.83(1), USER.85(1), USER.91(1), USER.93(1), USER.95(1)
  19  40497  COMPOBJ.38(2), GDI.128(1), GDI.2(1), GDI.45(1), GDI.9(1), KERNEL.107(1), KERNEL.49(1), KERNEL.50(1), KERNEL.55(1), KERNEL.60(1), KERNEL.61(1), KERNEL.62(1), KERNEL.63(1), KERNEL.81(1), KERNEL.85(1), KERNEL.88(1), KERNEL.90(1), KERNEL.92(1), KERNEL.95(1), KERNEL.96(1), MMSYSTEM.402(1), OLE2DISP.33(2), OLE2DISP.4(1), OLE2DISP.6(1), SHELL.21(1), SHELL.34(1), USER.1(1), USER.10(1), USER.106(1), USER.109(1), USER.111(1), USER.113(1), USER.114(1), USER.118(1), USER.12(1), USER.125(1), USER.176(1), USER.179(1), USER.22(1), USER.258(1), USER.262(1), USER.284(1), USER.286(1), USER.32(1), USER.33(1), USER.36(1), USER.37(1), USER.38(1), USER.42(1), USER.420(1), USER.430(1), USER.46(1), USER.47(1), USER.56(1), USER.75(1), USER.76(1), USER.77(1), USER.78(1), USER.81(1), USER.83(1), USER.85(1), USER.91(1)
  20  39804  COMPOBJ.38(2), GDI.11(1), GDI.134(1), GDI.159(1), GDI.160(1), GDI.161(1), GDI.30(1), GDI.34(1), GDI.39(1), GDI.439(1), GDI.44(1), GDI.441(1), GDI.45(1), GDI.51(1), GDI.64(1), GDI.65(1), GDI.69(1), GDI.7(1), GDI.80(1), GDI.87(1), KERNEL.102(1), KERNEL.113(1), KERNEL.15(1), KERNEL.17(1), KERNEL.18(1), KERNEL.19(1), KERNEL.20(1), KERNEL.21(1), KERNEL.36(1), KERNEL.48(1), KERNEL.50(1), KERNEL.55(1), KERNEL.57(1), KERNEL.58(1), KERNEL.59(1), KERNEL.74(1), KERNEL.90(1), KERNEL.95(1), KERNEL.96(1), MSAJT110.164(1), OLE2DISP.33(2), OLE2DISP.6(1), OLE2DISP.7(1), USER.1(1), USER.110(1), USER.111(1), USER.118(1), USER.125(1), USER.135(1), USER.176(1), USER.189(1), USER.22(1), USER.224(1), USER.232(1), USER.237(1), USER.262(1), USER.282(1), USER.283(1), USER.286(1), USER.32(1), USER.33(1), USER.36(1), USER.37(1), USER.38(1), USER.39(1), USER.40(1), USER.42(1), USER.420(1), USER.430(1), USER.432(1), USER.46(1), USER.471(1), USER.54(1), USER.56(1), USER.66(1), USER.67(1), USER.68(1), USER.69(1), USER.72(1), USER.74(1), USER.76(1), USER.77(1), USER.78(1), USER.81(1), USER.84(1), USER.91(1), WING.1003(1)
